community_area,total_cases
0.0,46
1.0,98630
2.0,84698
3.0,93625
4.0,46462
5.0,36444
6.0,134946
7.0,98951
8.0,232943
9.0,6622
10.0,28528
11.0,25865
12.0,12196
13.0,22177
14.0,58129
15.0,80711
16.0,71685
17.0,39721
18.0,15319
19.0,118251
20.0,38171
21.0,58093
22.0,128441
23.0,197656
24.0,184849
25.0,394129
26.0,122641
27.0,118046
28.0,198166
29.0,189973
30.0,108277
31.0,63694
32.0,170694
33.0,50175
34.0,24836
35.0,67503
36.0,15750
37.0,20526
38.0,84422
39.0,38228
40.0,66864
41.0,42353
42.0,100827
43.0,214660
44.0,145154
45.0,32818
46.0,117417
47.0,9504
48.0,35432
49.0,170564
50.0,26142
51.0,43830
52.0,31768
53.0,104132
54.0,28372
55.0,14804
56.0,51447
57.0,23701
58.0,60833
59.0,25481
60.0,40487
61.0,124422
62.0,24919
63.0,59222
64.0,25637
65.0,47008
66.0,155434
67.0,176735
68.0,162983
69.0,161661
70.0,59238
71.0,182869
72.0,23202
73.0,77542
74.0,14198
75.0,51387
76.0,38668
77.0,65771
